Ano;CodOrgao;SiglaPPG;NomePPG;NivelCursoPG;NrMatriculados;NrTitulados
2013;3646;PPGECIES;Programa de Pós-Graduação Educação em Ciências: Química da Vida e Saúde - Associação de IES;Doutorado;86;6
2019;1140;PPGEE;Programa de Pós-Graduação em Engenharia Elétrica;Doutorado;57;15
2021;1248;PPGCIMAT;Programa de Pós-Graduação em Ciências dos Materiais;Doutorado;45;10
2016;1140;PPGEE;Programa de Pós-Graduação em Engenharia Elétrica;Doutorado;57;9
2023;644;PPGMATPU;Programa de Pós-Graduação em Matemática Pura;Doutorado;28;7
2021;376;PPGCF;Programa de Pós-Graduação em Ciências Farmacêuticas;Mestrado Acadêmico;75;23
2021;585;PPGQUI;Programa de Pós-Graduação em Química;Mestrado Acadêmico;63;11
2020;604;PPGEN;Programa de Pós-Graduação em Genética e Biologia Molecular;Mestrado Acadêmico;47;14
2015;414;PPGGAST;Programa de Pós-Graduação Ciências em Gastroenterologia e Hepatologia;Doutorado;16;4
2011;1139;PPGCOMINF;Programa de Pós-Graduação em Comunicação e Informação;Mestrado Acadêmico;48;14
2012;602;PPGECOL;Programa de Pós-Graduação em Ecologia;Doutorado;45;16
2010;601;PPGBOT;Programa de Pós-Graduação em Botânica;Mestrado Acadêmico;34;12
2012;420;PPGC;Programa de Pós-Graduação em Medicina: Ciências Cirúrgicas;Mestrado Acadêmico;82;32
2018;416;PPGSCA;Programa de Pós-Graduação em Saúde da Criança e do Adolescente;Mestrado Profissional;7;5
2020;7586;PPGFARTP;Programa de Pós-Graduação em Ciências Biológicas: Farmacologia e Terapêutica;Mestrado Acadêmico;18;5
2014;1222;PPGENDO;Programa de Pós-Graduação em Ciências Médicas: Endocrinologia;Doutorado;51;9
2017;3646;PPGECIES;Programa de Pós-Graduação Educação em Ciências: Química da Vida e Saúde - Associação de IES;Doutorado;170;22
2023;575;PGGEO;Programa de Pós-Graduação em Geociências;Doutorado;143;19
2015;2716;PGMICRO;Programa de Pós-Graduação em Microeletrônica;Mestrado Acadêmico;48;11
2019;376;PPGCF;Programa de Pós-Graduação em Ciências Farmacêuticas;Mestrado Acadêmico;75;22
2014;475;PPGANT;Programa de Pós-Graduação em Antropologia Social;Mestrado Acadêmico;55;17
2023;8592;PPGPP;Programa de Pós-Graduação em Políticas Públicas;Mestrado Acadêmico;51;12
2016;600;PPGBIOQ;Programa de Pós-Graduação em Ciências Biológicas: Bioquímica;Mestrado Acadêmico;38;12
2017;1287;PPGSR;Programa de Pós-Graduação em Sensoriamento Remoto;Mestrado Acadêmico;45;13
2012;412;PPGCARD;Programa de Pós-Graduação em Ciências da Saúde: Cardiologia e Ciências Cardiovasculares;Doutorado;71;22
2018;393;PROMEC;Programa de Pós-Graduação em Engenharia Mecânica;Mestrado Acadêmico;132;30
2021;9003;PPGPSSS;Programa de Pós-Graduação em Política Social e Serviço Social;Mestrado Acadêmico;56;18
2019;11584;PPGESTATISTICA;Programa de Pós-Graduação em Estatística;Mestrado Acadêmico;9;0
2011;1139;PPGCOMINF;Programa de Pós-Graduação em Comunicação e Informação;Doutorado;46;8
2020;12125;PPGPROFSAUDE;Mestrado Profissional em Saúde da Família;Mestrado Profissional;6;0
2011;1536;PPGAGRON;Programa de Pós-Graduação em Agronegócios;Doutorado;31;4
2022;1313;PPGENF;Programa de Pós-Graduação em Enfermagem;Doutorado;80;15
2023;1859;PPGCTA;Programa de Pós-Graduação em Ciência e Tecnologia de Alimentos;Mestrado Acadêmico;50;10
2011;1552;PPGPSISI;Programa de Pós-Graduação em Psicologia Social e Institucional;Mestrado Acadêmico;94;29
2013;1287;PPGSR;Programa de Pós-Graduação em Sensoriamento Remoto;Doutorado;34;1
2015;394;PPGEM;Programa de Pós-Graduação em Engenharia de Minas, Metalúrgica e de Materiais;Mestrado Profissional;49;0
2015;393;PROMEC;Programa de Pós-Graduação em Engenharia Mecânica;Mestrado Acadêmico;123;36
2015;3151;PGDESIGN;Programa de Pós-Graduação em Design;Mestrado Acadêmico;81;26
2022;637;PPGFIS;Programa de Pós-Graduação em Física;Doutorado;82;12
2012;600;PPGBIOQ;Programa de Pós-Graduação em Ciências Biológicas: Bioquímica;Mestrado Acadêmico;85;14
2020;435;PPGMUS;Programa de Pós-Graduação em Música;Doutorado;48;6
2015;6313;PPGCOL;Programa de Pós-Graduação em Saúde Coletiva;Mestrado Acadêmico;106;29
2019;8592;PPGPP;Programa de Pós-Graduação em Políticas Públicas;Mestrado Acadêmico;33;10
2016;684;PPGLET;Programa de Pós-Graduação em Letras;Doutorado;234;40
2017;8592;PPGPP;Programa de Pós-Graduação em Políticas Públicas;Mestrado Acadêmico;38;9
2019;393;PROMEC;Programa de Pós-Graduação em Engenharia Mecânica;Mestrado Acadêmico;113;31
2010;706;PPGCC;Programa de Pós-Graduação em Computação;Doutorado;105;10
2011;637;PPGFIS;Programa de Pós-Graduação em Física;Doutorado;104;16
2021;1376;PPGMAA;Programa de Pós-Graduação em Microbiologia Agrícola e do Ambiente;Doutorado;34;8
2018;479;PPGPSI;Programa de Pós-Graduação em Psicologia;Mestrado Acadêmico;70;20
2020;437;PPGAV;Programa de Pós-Graduação em Artes Visuais;Mestrado Acadêmico;85;4
2019;1374;PPGFITO;Programa de Pós-Graduação em Fitotecnia;Doutorado;53;11
2020;8592;PPGPP;Programa de Pós-Graduação em Políticas Públicas;Doutorado;49;5
2013;603;PPGFISIO;Programa de Pós-Graduação em Ciências Biológicas: Fisiologia;Mestrado Acadêmico;33;13
2018;1552;PPGPSISI;Programa de Pós-Graduação em Psicologia Social e Institucional;Doutorado;61;11
2013;1222;PPGENDO;Programa de Pós-Graduação em Ciências Médicas: Endocrinologia;Mestrado Acadêmico;34;13
2016;478;PPGHIS;Programa de Pós-Graduação em História;Doutorado;99;13
2018;445;PGDR;Programa de Pós-Graduação em Desenvolvimento Rural;Doutorado;86;12
2017;3151;PGDESIGN;Programa de Pós-Graduação em Design;Mestrado Acadêmico;52;9
2017;1493;PPGEPIDE;Programa de Pós-Graduação em Epidemiologia;Mestrado Acadêmico;33;10
2017;1521;PPGBCM;Programa de Pós-Graduação em Biologia Celular e Molecular;Mestrado Acadêmico;57;19
2016;684;PPGLET;Programa de Pós-Graduação em Letras;Mestrado Acadêmico;174;58
2012;653;PPGEDU;Programa de Pós-Graduação em Educação;Doutorado;297;33
2013;1536;PPGAGRON;Programa de Pós-Graduação em Agronegócios;Doutorado;32;7
2023;1638;MPENG;Programa de Pós-Graduação em Engenharia - Mestrado Profissionalizante;Mestrado Profissional;1;0
2015;1493;PPGEPIDE;Programa de Pós-Graduação em Epidemiologia;Doutorado;65;16
2019;698;PPGCMH;Programa de Pós-Graduação em Ciências do Movimento Humano;Doutorado;122;25
2018;1375;PPGZOOT;Programa de Pós-Graduação em Zootecnia;Mestrado Acadêmico;51;12
2016;5332;PPGEEI;Programa de Pós-Graduação em Estudos Estratégicos Internacionais;Doutorado;74;10
2019;1374;PPGFITO;Programa de Pós-Graduação em Fitotecnia;Mestrado Acadêmico;59;20
2010;692;PROPUR;Programa de Pós-Graduação em Planejamento Urbano e Regional;Mestrado Acadêmico;71;10
2022;698;PPGCMH;Programa de Pós-Graduação em Ciências do Movimento Humano;Mestrado Acadêmico;126;27
2013;435;PPGMUS;Programa de Pós-Graduação em Música;Mestrado Acadêmico;45;9
2012;478;PPGHIS;Programa de Pós-Graduação em História;Doutorado;66;3
2013;2685;PPGCMED;Programa de Pós-Graduação em Ciências Médicas;Mestrado Acadêmico;130;66
2012;1139;PPGCOMINF;Programa de Pós-Graduação em Comunicação e Informação;Mestrado Acadêmico;48;22
2019;476;PPGCP;Programa de Pós-Graduação em Ciência Política;Mestrado Acadêmico;42;12
2010;376;PPGCF;Programa de Pós-Graduação em Ciências Farmacêuticas;Mestrado Acadêmico;69;19
2022;692;PROPUR;Programa de Pós-Graduação em Planejamento Urbano e Regional;Mestrado Acadêmico;62;16
2022;1139;PPGCOMINF;Programa de Pós-Graduação em Comunicação e Informação;Doutorado;15;14
2018;4212;PPGMAE;Programa de Pós-Graduação em Medicina Animal: Equinos;Mestrado Acadêmico;52;11
2021;637;PPGFIS;Programa de Pós-Graduação em Física;Mestrado Acadêmico;59;15
2015;395;PPGRH;Programa de Pós-Graduação em Recursos Hídricos e Saneamento Ambiental;Mestrado Acadêmico;64;14
2021;466;PPGVET;Programa de Pós-graduação em Ciências Veterinárias;Mestrado Acadêmico;98;30
2010;392;PPGEC;Programa de Pós-Graduação em Engenharia Civil;Doutorado;100;8
2020;444;PPGECO;Programa de Pós-Graduação em Economia;Mestrado Acadêmico;61;16
2011;1375;PPGZOOT;Programa de Pós-Graduação em Zootecnia;Doutorado;65;8
2018;401;PPGEP;Programa de Pós-Graduação em Engenharia de Produção;Doutorado;79;15
2017;1377;PPGSOLO;Programa de Pós-Graduação em Ciência do Solo;Mestrado Acadêmico;20;7
2018;5730;PPGNANO;Programa de Pós-Graduação em Nanotecnologia Farmacêutica;Doutorado;6;1
2014;401;PPGEP;Programa de Pós-Graduação em Engenharia de Produção;Mestrado Acadêmico;74;20
2014;2716;PGMICRO;Programa de Pós-Graduação em Microeletrônica;Mestrado Acadêmico;49;14
2019;437;PPGAV;Programa de Pós-Graduação em Artes Visuais;Mestrado Acadêmico;63;23
2016;443;PPGA;Programa de Pós-Graduação em Administração;Doutorado;131;16
2020;3151;PGDESIGN;Programa de Pós-Graduação em Design;Doutorado;91;5
2018;585;PPGQUI;Programa de Pós-Graduação em Química;Doutorado;121;20
2019;600;PPGBIOQ;Programa de Pós-Graduação em Ciências Biológicas: Bioquímica;Mestrado Acadêmico;55;13
2012;1374;PPGFITO;Programa de Pós-Graduação em Fitotecnia;Doutorado;47;8
2010;445;PGDR;Programa de Pós-Graduação em Desenvolvimento Rural;Doutorado;72;10
2011;414;PPGGAST;Programa de Pós-Graduação Ciências em Gastroenterologia e Hepatologia;Mestrado Acadêmico;28;8
2021;1287;PPGSR;Programa de Pós-Graduação em Sensoriamento Remoto;Doutorado;48;9
2012;604;PPGEN;Programa de Pós-Graduação em Genética e Biologia Molecular;Mestrado Acadêmico;77;11
2016;427;PPGDIR;Programa de Pós-Graduação em Direito;Mestrado Acadêmico;150;32
2016;603;PPGFISIO;Programa de Pós-Graduação em Ciências Biológicas: Fisiologia;Mestrado Acadêmico;31;11
2017;393;PROMEC;Programa de Pós-Graduação em Engenharia Mecânica;Doutorado;85;8
2010;1248;PPGCIMAT;Programa de Pós-Graduação em Ciências dos Materiais;Mestrado Acadêmico;54;13
2015;1433;PGGEA;Programa de Pós-Graduação em Geografia;Doutorado;88;17
2022;1287;PPGSR;Programa de Pós-Graduação em Sensoriamento Remoto;Mestrado Acadêmico;46;6
2022;644;PPGMATPU;Programa de Pós-Graduação em Matemática Pura;Mestrado Acadêmico;25;4
2011;684;PPGLET;Programa de Pós-Graduação em Letras;Mestrado Acadêmico;204;55
2023;4212;PPGMAE;Programa de Pós-Graduação em Medicina Animal: Equinos;Mestrado Acadêmico;42;3
2022;602;PPGECOL;Programa de Pós-Graduação em Ecologia;Doutorado;43;7
2021;7483;PPGGO;Programa de Pós-Graduação em Ciências da Saúde: Ginecologia e Obstetrícia;Doutorado;33;6
2016;3108;PPGAC;Programa de Pós-Graduação em Artes Cênicas;Doutorado;33;0
2010;1375;PPGZOOT;Programa de Pós-Graduação em Zootecnia;Mestrado Acadêmico;50;13
2019;1275;PPGODONT;Programa de Pós-Graduação em Odontologia;Mestrado Acadêmico;114;39
2010;637;PPGFIS;Programa de Pós-Graduação em Física;Mestrado Acadêmico;48;12
2015;706;PPGCC;Programa de Pós-Graduação em Computação;Mestrado Acadêmico;186;46
2018;1074;PPGBIOAN;Programa de Pós-Graduação em Biologia Animal;Mestrado Acadêmico;57;17
2010;437;PPGAV;Programa de Pós-Graduação em Artes Visuais;Doutorado;35;1
2019;401;PPGEP;Programa de Pós-Graduação em Engenharia de Produção;Doutorado;74;8
2015;5750;PPGENSAU;Programa de Pós-Graduação em Ensino na Saúde;Mestrado Profissional;20;0
2018;8592;PPGPP;Programa de Pós-Graduação em Políticas Públicas;Mestrado Acadêmico;39;14
2020;427;PPGDIR;Programa de Pós-Graduação em Direito;Mestrado Acadêmico;175;44
2013;1132;PPGMAPLI;Programa de Pós-Graduação em Matemática Aplicada;Mestrado Acadêmico;23;8
2015;435;PPGMUS;Programa de Pós-Graduação em Música;Mestrado Acadêmico;44;16
2016;394;PPGEM;Programa de Pós-Graduação em Engenharia de Minas, Metalúrgica e de Materiais;Mestrado Acadêmico;581;81
2010;444;PPGECO;Programa de Pós-Graduação em Economia;Mestrado Acadêmico;80;21
2014;706;PPGCC;Programa de Pós-Graduação em Computação;Mestrado Acadêmico;195;46
2010;435;PPGMUS;Programa de Pós-Graduação em Música;Mestrado Acadêmico;36;2
2021;417;PPGPNEUM;Programa de Pós-Graduação em Ciências Pneumológicas;Doutorado;42;9
2012;601;PPGBOT;Programa de Pós-Graduação em Botânica;Doutorado;60;10
2015;444;PPGECO;Programa de Pós-Graduação em Economia;Mestrado Acadêmico;69;22
2017;5750;PPGENSAU;Programa de Pós-Graduação em Ensino na Saúde;Mestrado Profissional;45;20
2014;444;PPGECO;Programa de Pós-Graduação em Economia;Doutorado;94;15
2021;10775;PPGSCID;Programa de Pós-Graduação em Segurança Cidadã;Mestrado Profissional;42;25
2023;1222;PPGENDO;Programa de Pós-Graduação em Ciências Médicas: Endocrinologia;Doutorado;58;13
2021;604;PPGEN;Programa de Pós-Graduação em Genética e Biologia Molecular;Mestrado Acadêmico;42;13
2015;395;PPGRH;Programa de Pós-Graduação em Recursos Hídricos e Saneamento Ambiental;Doutorado;82;9
2010;412;PPGCARD;Programa de Pós-Graduação em Ciências da Saúde: Cardiologia e Ciências Cardiovasculares;Doutorado;48;6
2019;5332;PPGEEI;Programa de Pós-Graduação em Estudos Estratégicos Internacionais;Mestrado Acadêmico;43;18
2017;1375;PPGZOOT;Programa de Pós-Graduação em Zootecnia;Mestrado Acadêmico;44;12
2020;414;PPGGAST;Programa de Pós-Graduação Ciências em Gastroenterologia e Hepatologia;Doutorado;33;7
2017;706;PPGCC;Programa de Pós-Graduação em Computação;Doutorado;124;28
2022;417;PPGPNEUM;Programa de Pós-Graduação em Ciências Pneumológicas;Mestrado Acadêmico;65;10
2020;11609;PGDREDES;Programa de Pós-Graduação em Dinâmicas Regionais e Desenvolvimento;Mestrado Acadêmico;17;0
2016;1377;PPGSOLO;Programa de Pós-Graduação em Ciência do Solo;Doutorado;61;8
2011;601;PPGBOT;Programa de Pós-Graduação em Botânica;Doutorado;54;6
2023;605;PPGNEURO;Programa de Pós-Graduação em Ciências Biológicas: Neurociências;Mestrado Acadêmico;32;12
2019;476;PPGCP;Programa de Pós-Graduação em Ciência Política;Doutorado;99;31
2010;1140;PPGEE;Programa de Pós-Graduação em Engenharia Elétrica;Mestrado Acadêmico;60;15
2015;480;PPGSOC;Programa de Pós-Graduação em Sociologia;Mestrado Acadêmico;65;21
2011;644;PPGMATPU;Programa de Pós-Graduação em Matemática Pura;Mestrado Acadêmico;28;5
2012;1376;PPGMAA;Programa de Pós-Graduação em Microbiologia Agrícola e do Ambiente;Doutorado;39;4
2013;600;PPGBIOQ;Programa de Pós-Graduação em Ciências Biológicas: Bioquímica;Doutorado;123;14
2014;435;PPGMUS;Programa de Pós-Graduação em Música;Doutorado;43;6
2012;437;PPGAV;Programa de Pós-Graduação em Artes Visuais;Doutorado;48;3
2011;476;PPGCP;Programa de Pós-Graduação em Ciência Política;Mestrado Acadêmico;60;14
2010;1493;PPGEPIDE;Programa de Pós-Graduação em Epidemiologia;Mestrado Profissional;36;3
2022;3108;PPGAC;Programa de Pós-Graduação em Artes Cênicas;Doutorado;42;5
2012;394;PPGEM;Programa de Pós-Graduação em Engenharia de Minas, Metalúrgica e de Materiais;Mestrado Acadêmico;417;81
2013;420;PPGC;Programa de Pós-Graduação em Medicina: Ciências Cirúrgicas;Mestrado Acadêmico;62;18
2017;9699;PROFAGUA;Programa de Pós-Graduação em Gestão e Regulação de Recursos Hídricos;Mestrado Profissional;25;0
2011;437;PPGAV;Programa de Pós-Graduação em Artes Visuais;Doutorado;34;9
2023;466;PPGVET;Programa de Pós-graduação em Ciências Veterinárias;Doutorado;78;15
2011;2789;PPGEMAT;Programa de Pós-Graduação em Ensino de Matemática;Mestrado Profissional;56;5
2017;416;PPGSCA;Programa de Pós-Graduação em Saúde da Criança e do Adolescente;Mestrado Acadêmico;77;21
2021;1536;PPGAGRON;Programa de Pós-Graduação em Agronegócios;Doutorado;70;12
2019;10420;PPGCI;Programa de Pós-Graduação em Engenharia Civil: Construção e Infraestrutura;Doutorado;85;6
2021;691;PPGARQ;Programa de Pós-Graduação em Arquitetura;Mestrado Acadêmico;82;10
2020;2685;PPGCMED;Programa de Pós-Graduação em Ciências Médicas;Mestrado Acadêmico;81;15
2016;435;PPGMUS;Programa de Pós-Graduação em Música;Doutorado;49;10
2018;1493;PPGEPIDE;Programa de Pós-Graduação em Epidemiologia;Doutorado;67;9
2023;11430;PPGCOM;Programa de Pós-Graduação em Comunicação;Doutorado;75;16
2012;416;PPGSCA;Programa de Pós-Graduação em Saúde da Criança e do Adolescente;Doutorado;47;7
2016;1248;PPGCIMAT;Programa de Pós-Graduação em Ciências dos Materiais;Mestrado Acadêmico;49;14
2017;376;PPGCF;Programa de Pós-Graduação em Ciências Farmacêuticas;Mestrado Acadêmico;78;32
2016;475;PPGANT;Programa de Pós-Graduação em Antropologia Social;Mestrado Acadêmico;48;14
2013;602;PPGECOL;Programa de Pós-Graduação em Ecologia;Doutorado;33;5
2013;1552;PPGPSISI;Programa de Pós-Graduação em Psicologia Social e Institucional;Doutorado;56;6
2016;1140;PPGEE;Programa de Pós-Graduação em Engenharia Elétrica;Mestrado Acadêmico;102;28
2023;479;PPGPSI;Programa de Pós-Graduação em Psicologia;Doutorado;104;15
2012;644;PPGMATPU;Programa de Pós-Graduação em Matemática Pura;Doutorado;28;7
2017;1376;PPGMAA;Programa de Pós-Graduação em Microbiologia Agrícola e do Ambiente;Doutorado;43;4
2021;480;PPGSOC;Programa de Pós-Graduação em Sociologia;Doutorado;92;10
2022;1074;PPGBIOAN;Programa de Pós-Graduação em Biologia Animal;Mestrado Acadêmico;55;21
2012;1552;PPGPSISI;Programa de Pós-Graduação em Psicologia Social e Institucional;Mestrado Acadêmico;82;31
2022;1074;PPGBIOAN;Programa de Pós-Graduação em Biologia Animal;Doutorado;49;15
2012;1536;PPGAGRON;Programa de Pós-Graduação em Agronegócios;Doutorado;37;6
2023;477;PPGFIL;Programa de Pós-Graduação em Filosofia;Mestrado Acadêmico;40;9
2016;7586;PPGFARTP;Programa de Pós-Graduação em Ciências Biológicas: Farmacologia e Terapêutica;Doutorado;18;1
2012;5332;PPGEEI;Programa de Pós-Graduação em Estudos Estratégicos Internacionais;Doutorado;22;1
2018;7586;PPGFARTP;Programa de Pós-Graduação em Ciências Biológicas: Farmacologia e Terapêutica;Mestrado Acadêmico;19;4
2023;477;PPGFIL;Programa de Pós-Graduação em Filosofia;Doutorado;59;5
2016;644;PPGMATPU;Programa de Pós-Graduação em Matemática Pura;Mestrado Acadêmico;26;9
2021;393;PROMEC;Programa de Pós-Graduação em Engenharia Mecânica;Doutorado;90;14
2020;401;PPGEP;Programa de Pós-Graduação em Engenharia de Produção;Mestrado Acadêmico;62;11
2020;637;PPGFIS;Programa de Pós-Graduação em Física;Doutorado;68;5
2010;394;PPGEM;Programa de Pós-Graduação em Engenharia de Minas, Metalúrgica e de Materiais;Mestrado Profissional;52;1
2011;392;PPGEC;Programa de Pós-Graduação em Engenharia Civil;Mestrado Acadêmico;121;32
2020;1375;PPGZOOT;Programa de Pós-Graduação em Zootecnia;Doutorado;81;19
2021;605;PPGNEURO;Programa de Pós-Graduação em Ciências Biológicas: Neurociências;Doutorado;33;1
2010;444;PPGECO;Programa de Pós-Graduação em Economia;Mestrado Profissional;113;21
2014;1433;PGGEA;Programa de Pós-Graduação em Geografia;Mestrado Acadêmico;92;23
2021;600;PPGBIOQ;Programa de Pós-Graduação em Ciências Biológicas: Bioquímica;Mestrado Acadêmico;66;17
2010;1216;PPGEQ;Programa de Pós-Graduação em Engenharia Química;Doutorado;43;0
2011;427;PPGDIR;Programa de Pós-Graduação em Direito;Mestrado Acadêmico;147;42
2022;6313;PPGCOL;Programa de Pós-Graduação em Saúde Coletiva;Mestrado Acadêmico;86;15
2015;4212;PPGMAE;Programa de Pós-Graduação em Medicina Animal: Equinos;Doutorado;44;3
2017;395;PPGRH;Programa de Pós-Graduação em Recursos Hídricos e Saneamento Ambiental;Doutorado;95;17
2017;476;PPGCP;Programa de Pós-Graduação em Ciência Política;Doutorado;101;10
2016;3646;PPGECIES;Programa de Pós-Graduação Educação em Ciências: Química da Vida e Saúde - Associação de IES;Doutorado;163;26
2018;1374;PPGFITO;Programa de Pós-Graduação em Fitotecnia;Doutorado;54;11
2014;7483;PPGGO;Programa de Pós-Graduação em Ciências da Saúde: Ginecologia e Obstetrícia;Mestrado Acadêmico;16;0
2016;376;PPGCF;Programa de Pós-Graduação em Ciências Farmacêuticas;Mestrado Acadêmico;85;29
2023;417;PPGPNEUM;Programa de Pós-Graduação em Ciências Pneumológicas;Doutorado;42;7
2021;420;PPGC;Programa de Pós-Graduação em Medicina: Ciências Cirúrgicas;Doutorado;2;2
2013;477;PPGFIL;Programa de Pós-Graduação em Filosofia;Doutorado;37;7
2023;1521;PPGBCM;Programa de Pós-Graduação em Biologia Celular e Molecular;Mestrado Acadêmico;41;7
2014;1377;PPGSOLO;Programa de Pós-Graduação em Ciência do Solo;Mestrado Acadêmico;34;11
2022;477;PPGFIL;Programa de Pós-Graduação em Filosofia;Mestrado Acadêmico;44;13
2013;706;PPGCC;Programa de Pós-Graduação em Computação;Doutorado;128;12
2015;1313;PPGENF;Programa de Pós-Graduação em Enfermagem;Mestrado Acadêmico;57;21
2016;416;PPGSCA;Programa de Pós-Graduação em Saúde da Criança e do Adolescente;Mestrado Acadêmico;70;13
2015;466;PPGVET;Programa de Pós-graduação em Ciências Veterinárias;Doutorado;97;24
2014;5379;PPGASFAR;Programa de Pós-Graduação em Assistência Farmacêutica;Mestrado Acadêmico;36;9
2020;443;PPGA;Programa de Pós-Graduação em Administração;Mestrado Profissional;5;0
2022;1275;PPGODONT;Programa de Pós-Graduação em Odontologia;Doutorado;159;30
2023;5730;PPGNANO;Programa de Pós-Graduação em Nanotecnologia Farmacêutica;Doutorado;1;0
2023;443;PPGA;Programa de Pós-Graduação em Administração;Mestrado Profissional;8;3
2019;417;PPGPNEUM;Programa de Pós-Graduação em Ciências Pneumológicas;Mestrado Acadêmico;62;15
2015;479;PPGPSI;Programa de Pós-Graduação em Psicologia;Mestrado Acadêmico;62;19
2023;2789;PPGEMAT;Programa de Pós-Graduação em Ensino de Matemática;Mestrado Acadêmico;73;10
2017;4212;PPGMAE;Programa de Pós-Graduação em Medicina Animal: Equinos;Doutorado;49;7
2014;394;PPGEM;Programa de Pós-Graduação em Engenharia de Minas, Metalúrgica e de Materiais;Doutorado;338;29
2017;10628;PROFQUI;Programa de Pós-Graduação do Mestrado Profissional em Química em Rede Nacional;Mestrado Profissional;16;0
2013;480;PPGSOC;Programa de Pós-Graduação em Sociologia;Doutorado;69;7
2019;575;PGGEO;Programa de Pós-Graduação em Geociências;Mestrado Acadêmico;137;36
2015;10081;PPGMNPEF;Mestrado Nacional Profissional em Ensino de Física;Mestrado Profissional;7;0
2019;11577;PPGCIN;Programa de Pós-Graduação em Ciência da Informação;Mestrado Acadêmico;25;0
2014;416;PPGSCA;Programa de Pós-Graduação em Saúde da Criança e do Adolescente;Mestrado Acadêmico;64;22
2021;1433;PGGEA;Programa de Pós-Graduação em Geografia;Mestrado Acadêmico;85;21
2017;3646;PPGECIES;Programa de Pós-Graduação Educação em Ciências: Química da Vida e Saúde - Associação de IES;Mestrado Acadêmico;108;23
2020;1132;PPGMAPLI;Programa de Pós-Graduação em Matemática Aplicada;Mestrado Acadêmico;21;5
2012;476;PPGCP;Programa de Pós-Graduação em Ciência Política;Doutorado;93;9
2020;9003;PPGPSSS;Programa de Pós-Graduação em Política Social e Serviço Social;Mestrado Acadêmico;54;11
2016;1275;PPGODONT;Programa de Pós-Graduação em Odontologia;Mestrado Acadêmico;70;36
2018;414;PPGGAST;Programa de Pós-Graduação Ciências em Gastroenterologia e Hepatologia;Mestrado Acadêmico;36;10
2021;8592;PPGPP;Programa de Pós-Graduação em Políticas Públicas;Doutorado;53;10
2021;1493;PPGEPIDE;Programa de Pós-Graduação em Epidemiologia;Mestrado Acadêmico;40;7
2016;466;PPGVET;Programa de Pós-graduação em Ciências Veterinárias;Doutorado;99;18
2023;444;PPGECO;Programa de Pós-Graduação em Economia;Mestrado Profissional;6;2
2013;575;PGGEO;Programa de Pós-Graduação em Geociências;Doutorado;129;10
2013;416;PPGSCA;Programa de Pós-Graduação em Saúde da Criança e do Adolescente;Mestrado Profissional;2;1
2011;477;PPGFIL;Programa de Pós-Graduação em Filosofia;Doutorado;30;1
2014;376;PPGCF;Programa de Pós-Graduação em Ciências Farmacêuticas;Doutorado;114;26
2013;1074;PPGBIOAN;Programa de Pós-Graduação em Biologia Animal;Doutorado;55;8
2021;3151;PGDESIGN;Programa de Pós-Graduação em Design;Doutorado;96;12
2010;1536;PPGAGRON;Programa de Pós-Graduação em Agronegócios;Mestrado Acadêmico;26;8
2023;1552;PPGPSISI;Programa de Pós-Graduação em Psicologia Social e Institucional;Mestrado Acadêmico;92;16
2018;1140;PPGEE;Programa de Pós-Graduação em Engenharia Elétrica;Doutorado;57;9
2021;1375;PPGZOOT;Programa de Pós-Graduação em Zootecnia;Doutorado;79;11
2021;2789;PPGEMAT;Programa de Pós-Graduação em Ensino de Matemática;Mestrado Acadêmico;59;6
2019;1433;PGGEA;Programa de Pós-Graduação em Geografia;Mestrado Acadêmico;86;22
2023;417;PPGPNEUM;Programa de Pós-Graduação em Ciências Pneumológicas;Mestrado Acadêmico;76;19
2010;414;PPGGAST;Programa de Pós-Graduação Ciências em Gastroenterologia e Hepatologia;Mestrado Acadêmico;32;7
2012;575;PGGEO;Programa de Pós-Graduação em Geociências;Mestrado Acadêmico;132;23
2017;5730;PPGNANO;Programa de Pós-Graduação em Nanotecnologia Farmacêutica;Doutorado;6;0
2018;1536;PPGAGRON;Programa de Pós-Graduação em Agronegócios;Mestrado Acadêmico;33;10
2011;1433;PGGEA;Programa de Pós-Graduação em Geografia;Mestrado Acadêmico;75;23
2019;477;PPGFIL;Programa de Pós-Graduação em Filosofia;Mestrado Acadêmico;31;9
2019;9086;PPGAOA;Programa de Pós-Graduação em Alimentos de Origem Animal - Mestrado Profissionalizante;Mestrado Profissional;31;6
2014;427;PPGDIR;Programa de Pós-Graduação em Direito;Mestrado Acadêmico;116;35
2019;416;PPGSCA;Programa de Pós-Graduação em Saúde da Criança e do Adolescente;Doutorado;44;13
2013;1433;PGGEA;Programa de Pós-Graduação em Geografia;Mestrado Acadêmico;86;24
2020;602;PPGECOL;Programa de Pós-Graduação em Ecologia;Doutorado;46;9
2012;477;PPGFIL;Programa de Pós-Graduação em Filosofia;Doutorado;39;9
2023;637;PPGFIS;Programa de Pós-Graduação em Física;Doutorado;83;9
2023;480;PPGSOC;Programa de Pós-Graduação em Sociologia;Doutorado;68;9
2020;691;PPGARQ;Programa de Pós-Graduação em Arquitetura;Mestrado Acadêmico;74;7
2017;601;PPGBOT;Programa de Pós-Graduação em Botânica;Mestrado Acadêmico;34;10
2015;653;PPGEDU;Programa de Pós-Graduação em Educação;Mestrado Acadêmico;199;67
